Ingredient,Substitute 1,Substitute 2,Calories,Protein (g),Fat (g),Carbs (g),Sugar (g),Sodium (mg),Cholesterol (mg)
"EGG SUBSTITUTE,POWDER","CHICKEN,BROILERS OR FRYERS,GIBLETS,CKD,FRIED","CHICKEN,GIZZARD,ALL CLASSES,CKD,SIMMRD",444.0,55.5,13.0,21.8,21.8,800.0,572.0
"BUTTER,WITHOUT SALT","BUTTER,WITH SALT","BUTTER,WHIPPED,WITH SALT",717.0,0.85,81.11,0.06,0.06,11.0,215.0
"CHEESE,PARMESAN,SHREDDED","CHEESE,PARMESAN,GRATED","CHEESE,PARMESAN,HARD",415.0,37.86,27.34,3.41,0.9,1696.0,72.0
"MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)","MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)","MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",34.0,3.37,0.08,4.96,5.09,42.0,2.0
"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A","MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D",56.0,3.95,1.98,5.49,12.175499856774563,59.0,8.0
"MILK,CND,EVAP,W/ VIT A","MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A","MILK,CND,EVAP,WO/ ADDED VIT A & VITAMIN D",134.0,6.81,7.56,10.04,12.175499856774563,106.0,29.0
"MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D","MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D","MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",362.0,36.16,0.77,51.98,51.98,535.0,20.0
"MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D","MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D","MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",358.0,35.1,0.72,52.19,52.19,549.0,18.0
"CHEESE,GOAT,HARD TYPE","CHEESE,GRUYERE","CHEESE,SWISS",452.0,30.52,35.59,2.17,2.17,346.0,105.0
"CHEESE,GOAT,SEMISOFT TYPE","CHEESE,MEXICAN,QUESO ASADERO","CHEESE,MEXICAN BLEND",364.0,21.58,29.84,2.54,2.54,515.0,79.0
"CHEESE,GOAT,SOFT TYPE","CHEESE,CAMEMBERT","CHEESE,FRSH,QUESO FRESCO",268.0,18.52,21.08,0.89,0.89,368.0,46.0
"EGG,YOLK,RAW,FRZ,SALTED","EGG,TURKEY,WHL,FRSH,RAW","EGG,YOLK,RAW,FRZ,SUGARED",274.0,14.0,23.0,1.6,12.175499856774563,3780.0,955.0
"CHEESE SUB,MOZZARELLA","ICE CRM,SOFT SERVE,CHOC","SAUCE,BARBECUE",248.0,11.47,12.22,23.67,23.67,685.0,76.69220283533261
CHEESE FONDUE,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,RAW","CHICKEN,ROASTING,MEAT&SKN&GIBLETS&NECK,RAW",229.0,14.23,13.47,3.77,12.175499856774563,132.0,45.0
"CHEESE SAU,PREP FROM RECIPE","CHEESE,RICOTTA,WHOLE MILK","SOUR CREAM,REDUCED FAT",197.0,10.33,14.92,5.48,0.19,493.0,38.0
"CHEESE,MEXICAN,QUESO ANEJO","CHEESE,MEXICAN,QUESO CHIHUAHUA","CHEESE,MEXICAN,QUESO ASADERO",373.0,21.44,29.98,4.63,4.63,1131.0,105.0
"CHEESE,MEXICAN,QUESO ASADERO","CHEESE,GOAT,SEMISOFT TYPE","CHEESE,MEXICAN BLEND",356.0,22.6,28.26,2.87,2.87,655.0,105.0
"CHEESE,MEXICAN,QUESO CHIHUAHUA","CHEESE,MEXICAN,QUESO ANEJO","CHEESE,MEXICAN,QUESO ASADERO",374.0,21.56,29.68,5.56,5.56,617.0,105.0
"CHEESE,LOFAT,CHEDDAR OR COLBY","USDA CMDTY,CHICK,CND,MEAT ONLY,W/ BROTH","CHEESE,MOZZARELLA,PART SKIM MILK",173.0,24.35,7.0,1.91,0.52,612.0,21.0
"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,COLBY","CHEESE,CHEDDAR",398.0,24.35,32.62,1.91,0.49,21.0,100.0
"EGG,WHOLE,RAW,FROZEN","CHICKEN,LIVER,ALL CLASSES,RAW","GOOSE,LIVER,RAW",148.0,11.95,10.2,1.05,12.175499856774563,133.0,432.0
"EGG,WHITE,RAW,FROZEN","MILK,SHEEP,FLUID","MARGARINE-LIKE,VEG OIL SPRD,20% FAT,WO/ SALT",47.0,9.8,10.740682790148947,1.05,12.175499856774563,158.0,76.69220283533261
"EGG,WHITE,DRIED","EGG,WHITE,DRIED,PDR,GLUCOSE RED","EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",382.0,81.1,10.740682790148947,7.8,5.4,1280.0,76.69220283533261
"MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D","MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D",50.0,3.3,1.98,4.8,5.06,47.0,8.0
"MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D","MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",42.0,3.37,0.97,4.99,5.2,44.0,5.0
"SOUR CREAM,REDUCED FAT","SOUR CREAM,LIGHT","CHEESE SAU,PREP FROM RECIPE",181.0,7.0,14.1,7.0,0.3,70.0,35.0
"SOUR CREAM,LIGHT","CREAM,FLUID,HALF AND HALF","CREAM,SOUR,RED FAT,CULTURED",138.0,3.5,10.6,7.1,0.22,71.0,35.0
"SOUR CREAM,FAT FREE","CAMPBELL'S RED & WHITE,CHICK NOODLEO'S SOUP,COND","SPLIT PEA W/ HAM SOUP,CND,RED NA,PREP W/ H2O OR RTS",74.0,3.1,10.740682790148947,15.6,0.39,141.0,9.0
"USDA COMMODITY,CHS,CHEDDAR,RED FAT","CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST","CHEESE,MEXICAN,BLEND,RED FAT",282.0,27.2,18.3,2.0,0.58,725.0,56.0
"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR","YOGURT,VAN/LEM FLAV,NONFAT MILK,W/ LO-CAL SWTNR,FORT W/VIT D",KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),43.0,3.86,0.18,7.5,7.5,59.0,2.0
"PARMESAN CHS TOPPING,FAT FREE","PROTEIN SUPP,MILK BSD,MUSCLE MILK LT,PDR","PROTEIN SUPP,MILK BSD,MUSCLE MILK,PDR",370.0,40.0,5.0,40.0,1.5,1150.0,20.0
"CHEESE,CREAM,FAT FREE","CHEESE,COTTAGE,LOWFAT,2% MILKFAT","CHEESE,COTTAGE,LOWFAT,1% MILKFAT",105.0,15.69,1.0,7.66,5.48,702.0,12.0
"YOGURT,CHOC,NONFAT MILK","YOGURT,CHOC,NONFAT MILK,FORT W/ VITAMIN D",REDDI WIP FAT FREE WHIPPED TOPPING,112.0,3.53,10.740682790148947,23.53,14.97,135.0,1.0
KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,"CHEESE SPRD,PAST PROCESS,AMERICAN",KRAFT VELVEETA PAST PROCESS CHS SPRD,276.0,12.0,21.0,9.2,6.7,1638.0,75.0
KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,"CHEESE PRODUCT,PAST PROCESS,AMERICAN,RED FAT,FORT W/ VIT D",215.0,16.3,9.5,16.2,8.2,1705.0,35.0
KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,"CHEESE,CREAM,FAT FREE",148.0,22.7,1.0,11.7,6.7,1298.0,16.0
KRAFT VELVEETA PAST PROCESS CHS SPRD,"CHEESE SPRD,PAST PROCESS,AMERICAN","CHEESE PRODUCT,PAST PROCESS,AMERICAN,VITAMIN D FORT",303.0,16.3,22.0,9.8,8.1,1499.0,80.0
KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,"CHEESE PRODUCT,PAST PROCESS,AMERICAN,RED FAT,FORT W/ VIT D",KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,222.0,19.6,10.6,11.8,8.5,1586.0,42.0
KRAFT BREAKSTONE'S RED FAT SOUR CRM,"SOUR CRM,IMITN,CULTURED",EGGNOG,152.0,4.5,12.0,6.5,6.4,59.0,50.0
KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,"YOGURT,VANILLA FLAVOR,LOWFAT MILK,SWTND W/ LO CAL SWTNR","CHI FORMU,ABBT NUTR,PEDIASU,RTF,W/ IRON & FIB (FORMER ROSS)",91.0,4.7,1.3,15.1,7.2,72.0,9.0
KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),"MILK SHAKES,THICK VANILLA",96.0,3.8,0.8,18.2,17.4,52.0,9.0
KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),"MILK SHAKES,THICK CHOC","YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",108.0,3.2,0.8,21.9,19.6,45.0,9.0
KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),"MILK SHAKES,THICK VANILLA",102.0,3.8,0.9,19.9,17.2,55.0,9.0
KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),"YOGURT,VAN/LEM FLAV,NONFAT MILK,W/ LO-CAL SWTNR,FORT W/VIT D","YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",55.0,3.4,0.2,9.9,7.7,45.0,5.0
"CREAM,HALF & HALF,FAT FREE","CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CRM OF CHICK SOUP,COND","SPLIT PEA SOUP,CND,RED NA,PREP W/ H2O OR READY-TO SERVE",59.0,2.6,1.4,9.0,5.0,100.0,5.0
REDDI WIP FAT FREE WHIPPED TOPPING,"YOGURT,CHOC,NONFAT MILK","YOGURT,CHOC,NONFAT MILK,FORT W/ VITAMIN D",149.0,3.0,5.0,25.0,16.0,72.0,16.0
"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA","MILK,CHOC,FLUID,COMM,RED FAT","MILK,CHOC BEV,HOT COCOA,HOMEMADE",78.0,2.99,1.9,12.13,9.55,66.0,8.0
"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER","YOGURT,FRUIT,LOWFAT,W/ LO CAL SWTNR,FORT W/ VITAMIN D","CAMPBELL SOUP,CAMPBELL'S RED & WHITE,BEAN W/ BACON SOUP,COND",105.0,4.86,1.41,18.6,2.9,58.0,6.0
"CHEESE,PARMESAN,DRY GRATED,RED FAT","CHEESE FD,PAST PROCESS,SWISS","CHEESE,ROQUEFORT",265.0,20.0,20.0,1.37,12.175499856774563,1529.0,88.0
"CREAM SUB,FLAV,LIQ","SALAD DRSNG,FRENCH DRSNG,RED FAT,WO/ SALT","ICE CRM CONE,CHOC COVERED,W/ NUTS,FLAVORS OTHER THAN CHOC",251.0,0.69,13.5,35.07,33.04,80.0,76.69220283533261
"CREAM SUB,FLAV,PDR","CREAM SUBSTITUTE,POWDERED",GERBER GRADUATES FRUIT STRIPS REAL FRUIT BARS,498.0,0.68,21.47,75.42,58.01,196.0,76.69220283533261
"CHEESE,PROVOLONE,RED FAT","CHEESE,MEXICAN,BLEND,RED FAT","CHEESE,MOZZARELLA,PART SKIM MILK",274.0,24.7,17.6,3.5,0.55,876.0,55.0
"CHEESE,MEXICAN,BLEND,RED FAT","CHEESE,PROVOLONE,RED FAT","CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",282.0,24.69,19.4,3.41,0.56,776.0,62.0
"EGG MIX,USDA CMDTY","EGG,YOLK,RAW,FRSH","EGG,YOLK,RAW,FROZEN",555.0,35.6,34.5,23.97,2.46,576.0,975.0
"MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D","MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D","MILK,BTTRMLK,FLUID,WHL",61.0,3.15,3.27,4.78,5.05,43.0,10.0
"MILK,DRY,WHL,WO/ ADDED VITAMIN D","MILK,DRY,WHL,W/ ADDED VITAMIN D","MILK,BUTTERMILK,DRIED",496.0,26.32,26.71,38.42,38.42,371.0,97.0
"MILK,CND,EVAP,WO/ ADDED VIT A & VITAMIN D","MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A","MILK,CND,EVAP,W/ VIT A",135.0,6.81,7.56,10.04,10.04,106.0,29.0
"CHEESE PRODUCT,PAST PROCESS,AMERICAN,RED FAT,FORT W/ VIT D",KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,"CHEESE SPRD,PAST PROCESS,AMERICAN",240.0,17.6,14.1,10.6,8.02,1587.0,53.0
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D","YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ","YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",99.0,3.98,1.15,18.64,18.64,53.0,5.0
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D","YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ","YOGURT,FRUIT VAR,NONFAT,FORT W/ VITAMIN D",102.0,4.37,1.08,19.05,19.05,58.0,4.0
"YOGURT,FRUIT VAR,NONFAT,FORT W/ VITAMIN D","YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D","YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",95.0,4.4,0.2,19.0,19.0,58.0,2.0
"YOGURT,FRUIT,LOWFAT,W/ LO CAL SWTNR,FORT W/ VITAMIN D","YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER","CAMPBELL SOUP,CAMPBELL'S RED & WHITE,BEAN W/ BACON SOUP,COND",105.0,4.86,1.41,18.6,2.9,58.0,6.0
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ,FORT W/ VIT D","YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ","SOUP,BEAN W/ HAM,CND,CHUNKY,RTS",85.0,4.93,1.25,13.8,13.8,66.0,5.0
"YOGURT,VAN/LEM FLAV,NONFAT MILK,W/ LO-CAL SWTNR,FORT W/VIT D","YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),43.0,3.86,0.18,7.5,7.5,59.0,2.0
"YOGURT,CHOC,NONFAT MILK,FORT W/ VITAMIN D","YOGURT,CHOC,NONFAT MILK",REDDI WIP FAT FREE WHIPPED TOPPING,112.0,3.53,10.740682790148947,23.53,14.97,135.0,1.0
"PROTEIN SUPP,MILK BSD,MUSCLE MILK,PDR","PROTEIN SUPP,MILK BSD,MUSCLE MILK LT,PDR","CHEESE,PARMESAN,GRATED",411.0,45.71,17.14,18.5,5.71,329.0,21.0
"PROTEIN SUPP,MILK BSD,MUSCLE MILK LT,PDR","PROTEIN SUPP,MILK BSD,MUSCLE MILK,PDR","PARMESAN CHS TOPPING,FAT FREE",396.0,50.0,12.0,22.0,4.0,250.0,10.0
DULCE DE LECHE,"MILK,CND,COND,SWTND","In for, M JOHN, ENF, ENFAC LIP, with ir, po, wi ARA and DH",315.0,6.84,7.35,55.35,49.74,129.0,29.0
"EGG SUB,LIQ OR FRZ,FAT FREE","VINEGAR,CIDER","VINEGAR,DISTILLED",48.0,10.0,10.740682790148947,2.0,2.0,199.0,76.69220283533261
"CHEESE,DRY WHITE,QUESO SECO","CHEESE,PAST PROCESS,SWISS","CHEESE,BLUE",325.0,24.51,24.35,2.04,0.55,1808.0,78.0
"CHEESE,FRSH,QUESO FRESCO","CHEESE,WHITE,QUESO BLANCO","CHEESE,CAMEMBERT",299.0,18.09,23.82,2.98,2.32,751.0,69.0
"CHEESE,WHITE,QUESO BLANCO","CHEESE,MOZZARELLA,WHL MILK","CHEESE,CAMEMBERT",310.0,20.38,24.31,2.53,1.76,704.0,70.0
"MILK,BTTRMLK,FLUID,WHL","MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D","MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D",62.0,3.21,3.31,4.88,4.88,105.0,11.0
"YOGURT,VANILLA FLAVOR,LOWFAT MILK,SWTND W/ LO CAL SWTNR","SPLIT PEA SOUP,CND,RED NA,PREP W/ H2O OR READY-TO SERVE",KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,86.0,4.93,1.25,13.8,5.43,66.0,5.0
"YOGURT,FRZ,FLAVORS NOT CHOC,NONFAT MILK,W/ LOW-CALORIE SWTNR","YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ","SOUP,TOMATO BF W/ NOODLE,CND,COND",104.0,4.4,0.8,19.7,12.61,81.0,4.0
"ICE CRM,SOFT SERVE,CHOC","DESSERT TOPPING,SEMI SOLID,FRZ","SALAD DRSNG,HONEY MUSTARD DRSNG,RED CAL",222.0,4.1,13.0,22.2,21.16,61.0,91.0
"ICE CRM,BAR OR STK,CHOC COVERED","DESSERT TOPPING,SEMI SOLID,FRZ","DESSERT TOPPING,PRESSURIZED",331.0,4.1,24.1,24.5,18.3,68.0,28.0
ICE CRM SNDWCH,"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA",ICE CRM COOKIE SNDWCH,237.0,4.29,8.57,37.14,18.57,129.0,21.0
ICE CRM COOKIE SNDWCH,ICE CRM SNDWCH,"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA",240.0,3.7,7.4,39.6,21.3,162.0,6.0
"ICE CRM CONE,CHOC COVERED,W/ NUTS,FLAVORS OTHER THAN CHOC",ICE CRM COOKIE SNDWCH,"SALAD DRSNG,POPPYSEED,CREAMY",354.0,5.21,21.88,34.38,25.0,94.0,21.0
"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA",ICE CRM SNDWCH,"DRESSING,HONEY MUSTARD,FAT-FREE",186.0,4.29,3.04,39.64,17.86,146.0,7.0
"ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED","SAUCE,PLUM,READY-TO-SERVE","SALAD DRSNG,CAESAR,FAT-FREE",200.0,5.71,2.86,42.86,6.58,164.0,21.0
"FAT FREE ICE CRM,NO SUGAR ADDED,FLAVORS OTHER THAN CHOC","THYME,FRSH","ROSEMARY,FRESH",129.0,4.41,10.740682790148947,27.94,8.82,110.0,76.69220283533261
"MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK",ICE CRM COOKIE SNDWCH,"SALAD DRSNG,RUSSIAN DRSNG,LO CAL",147.0,4.41,1.47,33.09,22.06,92.0,7.0
"NUTRITIONAL SUPP FOR PEOPLE W/ DIABETES,LIQ","SOUP,PEA,SPLIT W/HAM,CND,CHUNKY,RTS","SOUP,BEAN&HAM,CND,RED NA,PREP W/H2O OR RTS",88.0,4.4,3.08,11.88,2.64,92.0,2.0
"CHEESE,MEXICAN BLEND","CHEESE,MUENSTER","CHEESE,BRICK",358.0,23.54,28.51,1.75,1.23,696.0,95.0
"CHEESE PRODUCT,PAST PROCESS,AMERICAN,VITAMIN D FORT","CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT","CHEESE FD,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D",310.0,18.18,22.63,8.52,6.57,1272.0,79.0
"CHEESE,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D","CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D","CHEESE,BLUE",371.0,18.13,31.79,3.7,2.26,1671.0,100.0
"CHEESE FD,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D","CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT","CHEESE PRODUCT,PAST PROCESS,AMERICAN,VITAMIN D FORT",330.0,16.86,25.63,8.56,5.59,1284.0,98.0
"EGG,WHL,RAW,FRZ,SALTED","EGG,WHL,CKD,POACHED","EGG,WHL,RAW,FRSH",138.0,10.97,10.07,0.83,0.07,3663.0,387.0
"ALLSPICE,GROUND","SAVORY,GROUND","SPICES,BAY LEAF",263.0,6.09,8.69,72.12,12.175499856774563,77.0,76.69220283533261
ANISE SEED,FENNEL SEED,DILL SEED,337.0,17.6,15.9,50.02,12.175499856774563,16.0,76.69220283533261
"SPICES,BASIL,DRIED",CARAWAY SEED,"CORIANDER LEAF,DRIED",233.0,22.98,4.07,47.75,1.71,76.0,76.69220283533261
"SPICES,BAY LEAF","ALLSPICE,GROUND","SAVORY,GROUND",313.0,7.61,8.36,74.97,12.175499856774563,23.0,76.69220283533261
CARAWAY SEED,CUMIN SEED,"SPICES,BASIL,DRIED",333.0,19.77,14.59,49.9,0.64,17.0,76.69220283533261
"SPICES,CARDAMOM","PEPPER,WHITE",SAFFRON,311.0,10.76,6.7,68.47,12.175499856774563,18.0,76.69220283533261
CELERY SEED,CUMIN SEED,CARAWAY SEED,392.0,18.07,25.27,41.35,0.67,160.0,76.69220283533261
"CHERVIL,DRIED","SPICES,TARRAGON,DRIED","SPEARMINT,DRIED",237.0,23.2,3.9,49.1,12.175499856774563,83.0,76.69220283533261
CHILI POWDER,PAPRIKA,"PEPPER,RED OR CAYENNE",282.0,13.46,14.28,49.7,7.19,1640.0,76.69220283533261
"CINNAMON,GROUND","GINGER,GROUND","SPICES,OREGANO,DRIED",247.0,3.99,1.24,80.59,2.17,10.0,76.69220283533261
"CLOVES,GROUND","SPICES,THYME,DRIED","TURMERIC,GROUND",274.0,5.97,13.0,65.53,2.38,277.0,76.69220283533261
"CORIANDER LEAF,DRIED","PARSLEY,DRIED","SPICES,TARRAGON,DRIED",279.0,21.93,4.78,52.1,7.27,211.0,76.69220283533261
CORIANDER SEED,"PEPPER,RED OR CAYENNE",PAPRIKA,298.0,12.37,17.77,54.99,12.175499856774563,35.0,76.69220283533261
CUMIN SEED,CELERY SEED,CARAWAY SEED,375.0,17.81,22.27,44.24,2.25,168.0,76.69220283533261
CURRY POWDER,"SAGE,GROUND","MARJORAM,DRIED",325.0,12.66,13.81,58.15,2.76,52.0,76.69220283533261
DILL SEED,FENNEL SEED,PAPRIKA,305.0,15.98,14.54,55.17,12.175499856774563,20.0,76.69220283533261
"DILL WEED,DRIED","SPEARMINT,DRIED",FENUGREEK SEED,253.0,19.96,4.36,55.82,12.175499856774563,208.0,76.69220283533261
FENNEL SEED,ANISE SEED,DILL SEED,345.0,15.8,14.87,52.29,12.175499856774563,88.0,76.69220283533261
FENUGREEK SEED,"DILL WEED,DRIED","SPICES,TARRAGON,DRIED",323.0,23.0,6.41,58.35,12.175499856774563,67.0,76.69220283533261
GARLIC POWDER,"GINGER,GROUND","SPICES,OREGANO,DRIED",331.0,16.55,0.73,72.73,2.43,60.0,76.69220283533261
"GINGER,GROUND","SPICES,OREGANO,DRIED",POULTRY SEASONING,335.0,8.98,4.24,71.62,3.39,27.0,76.69220283533261
"MACE,GROUND","CHEESE,GJETOST","SAUCE,MOLE POBLANO,DRY MIX,SINGLE BRAND",475.0,6.71,32.38,50.5,12.175499856774563,80.0,76.69220283533261
"MARJORAM,DRIED",CURRY POWDER,"SAGE,GROUND",271.0,12.66,7.04,60.56,4.09,77.0,76.69220283533261
"SPICES,MUSTARD SD,GROUND","CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,RSTD",POPPY SEED,508.0,26.08,36.24,28.09,6.79,13.0,76.69220283533261
"NUTMEG,GROUND","ICE CRM CONE,CHOC COVERED,W/ NUTS,FLAVORS OTHER THAN CHOC","CREAM SUB,FLAV,LIQ",525.0,5.84,36.31,49.29,28.49,16.0,76.69220283533261
ONION POWDER,"GINGER,GROUND","SPICES,OREGANO,DRIED",341.0,10.41,1.04,79.12,6.63,73.0,76.69220283533261
"SPICES,OREGANO,DRIED",POULTRY SEASONING,"GINGER,GROUND",265.0,9.0,4.28,68.92,4.09,25.0,76.69220283533261
PAPRIKA,DILL SEED,"PEPPER,RED OR CAYENNE",282.0,14.14,12.89,53.99,10.34,68.0,76.69220283533261
"PARSLEY,DRIED","CORIANDER LEAF,DRIED","SPICES,TARRAGON,DRIED",292.0,26.63,5.48,50.64,7.27,452.0,76.69220283533261
"PEPPER,BLACK","SPICES,THYME,DRIED",POULTRY SEASONING,251.0,10.39,3.26,63.95,0.64,20.0,76.69220283533261
"PEPPER,RED OR CAYENNE",CORIANDER SEED,PAPRIKA,318.0,12.01,17.27,56.63,10.34,30.0,76.69220283533261
"PEPPER,WHITE","SPICES,CARDAMOM",SAFFRON,296.0,10.4,2.12,68.61,12.175499856774563,5.0,76.69220283533261
POPPY SEED,"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,ROTISSERIE,ORIGINAL","SPICES,MUSTARD SD,GROUND",525.0,17.99,41.56,28.13,2.99,26.0,76.69220283533261
POULTRY SEASONING,"SPICES,THYME,DRIED","TURMERIC,GROUND",307.0,9.59,7.53,65.59,3.08,27.0,76.69220283533261
PUMPKIN PIE SPICE,"ROSEMARY,DRIED","SAVORY,GROUND",342.0,5.76,12.6,69.28,7.76,52.0,76.69220283533261
"ROSEMARY,DRIED","SAVORY,GROUND","ALLSPICE,GROUND",331.0,4.88,15.22,64.06,12.175499856774563,50.0,76.69220283533261
SAFFRON,"SPICES,CARDAMOM","PEPPER,WHITE",310.0,11.43,5.85,65.37,12.175499856774563,148.0,76.69220283533261
"SAGE,GROUND",CURRY POWDER,"SPICES,THYME,DRIED",315.0,10.63,12.75,60.73,1.71,11.0,76.69220283533261
"SAVORY,GROUND","ALLSPICE,GROUND","PEPPER,WHITE",272.0,6.73,5.91,68.73,12.175499856774563,24.0,76.69220283533261
"SPICES,TARRAGON,DRIED","CHERVIL,DRIED","SPEARMINT,DRIED",295.0,22.77,7.24,50.22,12.175499856774563,62.0,76.69220283533261
"SPICES,THYME,DRIED",POULTRY SEASONING,"PEPPER,BLACK",276.0,9.11,7.43,63.94,1.71,55.0,76.69220283533261
"TURMERIC,GROUND",POULTRY SEASONING,"SPICES,THYME,DRIED",354.0,7.83,9.88,64.93,3.21,38.0,76.69220283533261
"BASIL,FRESH","SOUP,GAZPACHO,CND,RTS","SOUP,STOCK,BEEF,HOME-PREPARED",23.0,3.15,0.64,2.65,0.3,4.0,76.69220283533261
"DILL WEED,FRSH","SPEARMINT,FRESH","MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",43.0,3.46,1.12,7.02,12.175499856774563,61.0,76.69220283533261
"MUSTARD,PREPARED,YELLOW","SOUP,ONION,CND,COND","SOUP,CRM OF MUSHROOM,CND,COND",67.0,4.37,4.01,5.33,0.86,1135.0,76.69220283533261
