Ingredient,Substitute 1,Substitute 2,Calories,Protein (g),Fat (g),Carbs (g),Sugar (g),Sodium (mg),Cholesterol (mg)
"SOUP,MUSHROOM BARLEY,CND,COND","USDA COMMODITY,SALSA","GRAVY,MUSHROOM,CANNED",61.0,1.5,1.8,9.6,12.175499856774563,573.0,76.69220283533261
"SOUP,CRM OF MUSHROOM,CND,COND","SOUP,CHUNKY VEG,CND,RTS","SOUP,ONION,CND,COND",85.0,1.61,5.89,6.72,1.46,702.0,76.69220283533261
"SOUP,MUSHROOM W/ BF STOCK,CND,COND","SOUP,BF NOODLE,CND,COND","SOUP,CHICK GUMBO,CND,COND",68.0,2.51,3.21,7.41,2.28,773.0,6.0
"SOUP,ONION,CND,COND","SAUCE,SALSA,RTS","SOUP,VEGETARIAN VEG,CND,COND",46.0,3.06,1.42,6.68,2.72,732.0,76.69220283533261
"SOUP,CRM OF ONION,CND,COND","CAMPBELL SOUP,CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND","SOUP,CLAM CHOWDER,MANHATTAN,CND,COND",88.0,2.2,4.2,10.4,3.64,637.0,12.0
"CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND","CAMPBELL'S RED & WHITE,CHICK ALPHABET SOUP,COND","CAMPBELL'S RED & WHITE,BATMAN FUN SHAPES SOUP,COND",56.0,2.38,1.59,8.73,0.79,381.0,4.0
"SOUP,OYSTER STEW,CND,COND","MARGARINE-LIKE,VEG OIL SPRD,FAT FREE,LIQ,W/ SALT","SOUP,CRAB,CND,RTS",48.0,1.72,3.13,3.32,12.175499856774563,740.0,11.0
"SOUP,PEA,GRN,CND,COND","SOUP,CHILI BF,CND,COND","SALAD DRSNG,HOME RECIPE,CKD",125.0,6.54,2.23,20.18,6.52,680.0,76.69220283533261
"SOUP,PEA,SPLIT W/HAM,CND,CHUNKY,RTS","SPLIT PEA W/ HAM SOUP,CND,RED NA,PREP W/ H2O OR RTS","NUTRITIONAL SUPP FOR PEOPLE W/ DIABETES,LIQ",77.0,4.62,1.66,11.17,1.91,301.0,3.0
"SOUP,PEA,SPLIT W/ HAM,CND,COND","SOUP,BEAN W/ FRANKFURTERS,CND,COND","YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",141.0,7.68,3.28,20.81,12.175499856774563,630.0,6.0
